SampleID,Country,Farm,Time,Treatment,Lat,Long,Elevation,pH,biomass,WHC,SOC,total_sand,total_silt,total_clay,soil_N,BD,soil_P,WC,VWC,respiration,reduction
SE_1_T0,SE,1,T0,C,55.8763,13.2282,59.585,6.49,0,48.25,1.96,54.11270822,21.29396085,24.59333093,0.21,1.43,0.61,10.06,14.3858,2.39,0.21
SE_2_T0,SE,1,T0,D,55.8763,13.2282,59.585,6.49,0,51.17,1.96,54.11270822,21.29396085,24.59333093,0.21,1.43,0.61,9.12,13.0416,2.16,0.18
SE_3_T0,SE,2,T0,C,55.8564,13.4235,93.621,5.8,0,50.65,2.33,55.33847045,27.10659245,17.5549371,0.23,1.35,1.25,10.59,14.2965,2.26,0.21
SE_4_T0,SE,2,T0,D,55.8564,13.4235,93.621,5.8,0,47.95,2.33,55.33847045,27.10659245,17.5549371,0.23,1.35,1.25,11.25,15.1875,2.03,0.23
SE_5_T0,SE,3,T0,C,55.6521,13.0825,0.113,7.87,0,70.44,2.52,47.22773885,41.32265814,11.44960301,0.25,1.35,0.88,19.55,26.3925,1.81,0.28
SE_6_T0,SE,3,T0,D,55.6521,13.0825,0.113,7.87,0,69.15,2.52,47.22773885,41.32265814,11.44960301,0.25,1.35,0.88,20.46,27.621,2.1,0.30
SE_7_T0,SE,4,T0,C,55.6782,13.6381,16.384,7.05,0,52.54,2.58,71.94539279,14.71787855,13.33672866,0.23,1.2,0.79,11.32,13.584,2.28,0.22
SE_8_T0,SE,4,T0,D,55.6782,13.6381,16.384,7.05,0,50.49,2.58,71.94539279,14.71787855,13.33672866,0.23,1.2,0.79,11.52,13.824,2.55,0.23
SE_9_T0,SE,5,T0,C,55.494,13.4335,55.895,7.52,0,54.23,2.11,9.180764658,46.77047372,44.04876162,0.21,1.29,0.83,14.6,18.834,1.82,0.27
SE_10_T0,SE,5,T0,D,55.494,13.4335,55.895,7.52,0,48.12,2.11,9.180764658,46.77047372,44.04876162,0.21,1.29,0.83,17.72,22.8588,1.38,0.37
ES_1_T1,ES,1,T1,C,37.57646201,-2.318505999,1109.274536,8.77,0,34.3,0.62,50.13788163,28.44247597,21.4196424,0.06,1.71,0.31,10.03,17.1513,0.9,0.29
ES_2_T1,ES,1,T1,D,37.57646201,-2.318505999,1109.274536,8.77,0,35.55,0.62,50.13788163,28.44247597,21.4196424,0.06,1.71,0.31,11.34,19.3914,0.38,0.32
ES_3_T1,ES,2,T1,C,37.57389598,-2.315838039,1121.020508,8.47,0,40.46,0.5,38.93054459,18.62174428,42.44771113,0.06,1.64,0.14,10.45,17.138,0.19,0.26
ES_4_T1,ES,2,T1,D,37.57389598,-2.315838039,1121.020508,8.47,0,37.15,0.5,38.93054459,18.62174428,42.44771113,0.06,1.64,0.14,11.23,18.4172,0.95,0.30
